"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","success","test_part","correct_response","probe"
"14065","<img src= stimuli/temporalOrder/35.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/1.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/27.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/58.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","328","1226616","0.0-3.0-1.81","","temporalOrder","3","35"
"null","","null","html-keyboard-response","329","1227118","0.0-3.0-2.81","","blank","",""
"5224","<img src= stimuli/temporalOrder/35.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/3.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/8.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/32.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","330","1232343","0.0-3.0-3.81","","contextMemory","1","35"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","331","1232846","0.0-3.0-0.82","","fixation","",""
"5401","<img src= stimuli/temporalOrder/36.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/17.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/33.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/67.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","332","1238248","0.0-3.0-1.82","","temporalOrder","1","36"
"null","","null","html-keyboard-response","333","1238749","0.0-3.0-2.82","","blank","",""
"6033","<img src= stimuli/temporalOrder/36.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/15.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/17.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/10.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","334","1244784","0.0-3.0-3.82","","contextMemory","2","36"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","335","1245289","0.0-3.0-0.83","","fixation","",""
"10628","<img src= stimuli/temporalOrder/2.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/21.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/60.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/14.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","336","1255919","0.0-3.0-1.83","","temporalOrder","3","2"
"null","","null","html-keyboard-response","337","1256429","0.0-3.0-2.83","","blank","",""
"2111","<img src= stimuli/temporalOrder/2.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/17.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/39.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/11.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","338","1258542","0.0-3.0-3.83","","contextMemory","2","2"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","339","1259057","0.0-3.0-0.84","","fixation","",""
"9710","<img src= stimuli/temporalOrder/53.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/26.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/22.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/64.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","340","1268768","0.0-3.0-1.84","","temporalOrder","3","53"
"null","","null","html-keyboard-response","341","1269278","0.0-3.0-2.84","","blank","",""
"3592","<img src= stimuli/temporalOrder/53.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/21.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/13.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/12.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","342","1272871","0.0-3.0-3.84","","contextMemory","2","53"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","343","1273375","0.0-3.0-0.85","","fixation","",""
"22704","<img src= stimuli/temporalOrder/85.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/87.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/23.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/34.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","344","1296079","0.0-3.0-1.85","","temporalOrder","1","85"
"null","","null","html-keyboard-response","345","1296581","0.0-3.0-2.85","","blank","",""
"1904","<img src= stimuli/temporalOrder/85.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/35.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/23.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/25.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","346","1298487","0.0-3.0-3.85","","contextMemory","2","85"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","347","1298998","0.0-3.0-0.86","","fixation","",""
"6079","<img src= stimuli/temporalOrder/47.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/4.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/35.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/71.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","348","1305078","0.0-3.0-1.86","","temporalOrder","1","47"
"null","","null","html-keyboard-response","349","1305588","0.0-3.0-2.86","","blank","",""
"7554","<img src= stimuli/temporalOrder/47.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/1.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/40.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/2.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","350","1313143","0.0-3.0-3.86","","contextMemory","1","47"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","351","1313645","0.0-3.0-0.87","","fixation","",""
"5633","<img src= stimuli/temporalOrder/87.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/17.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/70.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/85.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","352","1319279","0.0-3.0-1.87","","temporalOrder","3","87"
"null","","null","html-keyboard-response","353","1319784","0.0-3.0-2.87","","blank","",""
"2149","<img src= stimuli/temporalOrder/87.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/22.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/35.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/27.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","354","1321934","0.0-3.0-3.87","","contextMemory","1","87"
"","","","fullscreen","355","1322949","0.0-4.0","true","","",""
