"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","worker_id","corr_resp","probe","target","foil1","dist1","foil1Pos","foil2","dist2","foil2Pos","subjCond","questionOrder","counterbalance_condition","question","roomNum","roomType","sameRoom","context","targetTable","foil1Table","foil2Table","imageSize"
"122.16500000067754","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/87.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/29.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/85.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/49.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","158","353588","0.0-3.0-1.77","temporalOrder1","10390","2","87","images/stimuli/85.png","images/stimuli/29.png","-3","1","images/stimuli/49.png","7","3","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","23","m","1","within","2","3","3","0.28825622775800713"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","159","354092","0.0-3.0-0.78","fixation","","","","","","","","","","","","","","","","","","","","","",""
"121.78000000130851","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/36.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/22.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/85.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/5.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","160","354215","0.0-3.0-1.78","temporalOrder1","10390","3","36","images/stimuli/5.png","images/stimuli/22.png","-20","1","images/stimuli/85.png","12","2","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","17","m","0","across","3","3","3","0.28825622775800713"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","161","354720","0.0-3.0-0.79","fixation","","","","","","","","","","","","","","","","","","","","","",""
"25.100000006204937","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/72.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/77.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/86.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/67.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","162","354747","0.0-3.0-1.79","temporalOrder1","10390","2","72","images/stimuli/86.png","images/stimuli/77.png","-17","1","images/stimuli/67.png","38","3","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","15","m","0","across","3","2","3","0.28825622775800713"
"701.5049999972689","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">Congratulations, you've completed the first block! Please note the change that for the second block the question now is <i>`In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?`</i>. <br><br> You therefore have to indicate which of the three objects at the bottom <strong>immediately preceded</strong> that object that is currently probed. Again note that it's not enough to just select the object that was presented any time point <strong>before</strong> the tested object. <br><br>Press <strong>space</strong> to begin the second block.","32","html-keyboard-response","163","355452","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","164","357956","0.0-5.0-0.0","fixation","","","","","","","","","","","","","","","","","","","","","",""
"3399.5750000030966","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/2.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/9.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/76.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/14.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","165","361358","0.0-5.0-1.0","temporalOrder2","10390","3","2","images/stimuli/14.png","images/stimuli/76.png","-40","2","images/stimuli/9.png","5","1","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","40","m","0","across","2","2","3","0.28825622775800713"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","166","361866","0.0-5.0-0.1","fixation","","","","","","","","","","","","","","","","","","","","","",""
"42.91999999986729","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/30.png' style='width:313.04626334519577px;height: 243px;'><div class='threeColumn'><img src='images/stimuli/84.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/52.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/40.png' style='width:313.04626334519577px;height: 243px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","167","361912","0.0-5.0-1.1","temporalOrder2","10390","2","30","images/stimuli/52.png","images/stimuli/84.png","-14","1","images/stimuli/40.png","31","3","1","1","5","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","15","m","0","across","2","2","3","0.28825622775800713"
