"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","test_part","corr_resp","probe","target","fpil1","foil2","condition","question","roomNum","sameRoom","context"
"","html-keyboard-response","353","582485","0.0-2.0-3.58","846","<img src= images/stimuli/46.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","","","","","","","","","","",""
"","html-keyboard-response","354","582985","0.0-2.0-4.58","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","355","584566","0.0-2.0-5.58","1579","<img src= images/stimuli/46.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","","","","","","","","","","",""
"","html-keyboard-response","356","585068","0.0-2.0-0.59","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","357","587089","0.0-2.0-1.59","2017","<img src= images/stimuli/68.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/21.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/2.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/7.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","temporalOrder","2","68","images/stimuli/2.png","images/stimuli/21.png","images/stimuli/7.png","2","What came before this object?","40","","within-no-walls"
"","html-keyboard-response","358","587590","0.0-2.0-2.59","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","359","588519","0.0-2.0-3.59","926","<img src= images/stimuli/68.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","","","","","","","","","","",""
"","html-keyboard-response","360","589021","0.0-2.0-4.59","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","361","589560","0.0-2.0-5.59","538","<img src= images/stimuli/68.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","","","","","","","","","","",""
"","html-keyboard-response","362","590062","0.0-2.0-0.60","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","363","590817","0.0-2.0-1.60","753","<img src= images/stimuli/29.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/87.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/79.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/63.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","temporalOrder","2","29","images/stimuli/79.png","images/stimuli/63.png","images/stimuli/87.png","2","What came before this object?","21","","within-walls"
"","html-keyboard-response","364","591318","0.0-2.0-2.60","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","365","591758","0.0-2.0-3.60","437","<img src= images/stimuli/29.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","","","","","","","","","","",""
"","html-keyboard-response","366","592259","0.0-2.0-4.60","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","367","593627","0.0-2.0-5.60","1365","<img src= images/stimuli/29.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","","","","","","","","","","",""
"","html-keyboard-response","368","594128","0.0-2.0-0.61","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","369","594890","0.0-2.0-1.61","759","<img src= images/stimuli/86.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/72.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/36.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/64.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","1","86","images/stimuli/72.png","images/stimuli/64.png","images/stimuli/36.png","2","What came before this object?","16","","across"
"","html-keyboard-response","370","595391","0.0-2.0-2.61","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","371","596466","0.0-2.0-3.61","1072","<img src= images/stimuli/86.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","","","","","","","","","","",""
"","html-keyboard-response","372","596967","0.0-2.0-4.61","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","373","597719","0.0-2.0-5.61","752","<img src= images/stimuli/86.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","","","","","","","","","","",""
"","html-keyboard-response","374","598219","0.0-2.0-0.62","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","375","598989","0.0-2.0-1.62","767","<img src= images/stimuli/30.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/43.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/65.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/52.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","temporalOrder","3","30","images/stimuli/52.png","images/stimuli/43.png","images/stimuli/65.png","2","What came before this object?","15","","across"
"","html-keyboard-response","376","599490","0.0-2.0-2.62","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","377","600496","0.0-2.0-3.62","1005","<img src= images/stimuli/30.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","","","","","","","","","","",""
"","html-keyboard-response","378","600998","0.0-2.0-4.62","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","379","601734","0.0-2.0-5.62","735","<img src= images/stimuli/30.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","","","","","","","","","","",""
"","html-keyboard-response","380","602235","0.0-2.0-0.63","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","381","602912","0.0-2.0-1.63","673","<img src= images/stimuli/44.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/4.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/69.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/74.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","temporalOrder","3","44","images/stimuli/74.png","images/stimuli/4.png","images/stimuli/69.png","2","What came before this object?","4","","within-no-walls"
"","html-keyboard-response","382","603413","0.0-2.0-2.63","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","383","603991","0.0-2.0-3.63","576","<img src= images/stimuli/44.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","","","","","","","","","","",""
"","html-keyboard-response","384","604491","0.0-2.0-4.63","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","385","605034","0.0-2.0-5.63","542","<img src= images/stimuli/44.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","","","","","","","","","","",""
