"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","test_part","corr_resp","probe","target","foil1","foil2","condition","question","roomNum","sameRoom","context"
"","html-keyboard-response","398","947919","0.0-2.0-0.66","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","399","954754","0.0-2.0-1.66","6834.230000036769","<img src= images/stimuli/84.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= images/stimuli/73.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= images/stimuli/22.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= images/stimuli/70.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","temporalOrder","2","84","images/stimuli/22.png","images/stimuli/70.png","images/stimuli/73.png","1","What came before this object?","7","1","within-no-walls"
"","html-keyboard-response","400","955258","0.0-2.0-2.66","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","401","956123","0.0-2.0-3.66","863.2200000574812","<img src= images/stimuli/84.png width = '386.6666666666667' height = '243.18658280922432'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><img src= images/stimuli/ww_room.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><p>Press 1 or 2.</p>","50","roomType","1","","","","","1","","7","",""
"","html-keyboard-response","402","956628","0.0-2.0-4.66","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","403","957319","0.0-2.0-5.66","689.9299999931827","<img src= images/stimuli/84.png width = '386.6666666666667' height = '243.18658280922432'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><img src= images/stimuli/ww_table.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><p>Press 1 or 2.</p>","50","tableNum","3","","","","","1","","","",""
"","html-keyboard-response","404","957823","0.0-2.0-0.67","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","405","963336","0.0-2.0-1.67","5512.404999928549","<img src= images/stimuli/68.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= images/stimuli/2.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= images/stimuli/7.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= images/stimuli/21.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","1","68","images/stimuli/2.png","images/stimuli/21.png","images/stimuli/7.png","1","What came before this object?","40","0","across"
"","html-keyboard-response","406","963841","0.0-2.0-2.67","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","407","967758","0.0-2.0-3.67","3915.6099999090657","<img src= images/stimuli/68.png width = '386.6666666666667' height = '243.18658280922432'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><img src= images/stimuli/ww_room.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><p>Press 1 or 2.</p>","50","roomType","2","","","","","1","","40","",""
"","html-keyboard-response","408","968262","0.0-2.0-4.67","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","409","968625","0.0-2.0-5.67","360.8849999727681","<img src= images/stimuli/68.png width = '386.6666666666667' height = '243.18658280922432'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><img src= images/stimuli/ww_table.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><p>Press 1 or 2.</p>","50","tableNum","2","","","","","1","","","",""
"","html-keyboard-response","410","969128","0.0-2.0-0.68","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","411","972640","0.0-2.0-1.68","3511.1849999520928","<img src= images/stimuli/63.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= images/stimuli/65.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= images/stimuli/37.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= images/stimuli/51.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","2","63","images/stimuli/37.png","images/stimuli/65.png","images/stimuli/51.png","1","What came before this object?","18","1","within-walls"
"","html-keyboard-response","412","973145","0.0-2.0-2.68","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","413","974671","0.0-2.0-3.68","1524.1450000321493","<img src= images/stimuli/63.png width = '386.6666666666667' height = '243.18658280922432'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><img src= images/stimuli/ww_room.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><p>Press 1 or 2.</p>","49","roomType","2","","","","","1","","18","",""
"","html-keyboard-response","414","975175","0.0-2.0-4.68","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","415","975561","0.0-2.0-5.68","384.33999998960644","<img src= images/stimuli/63.png width = '386.6666666666667' height = '243.18658280922432'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><img src= images/stimuli/ww_table.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><p>Press 1 or 2.</p>","49","tableNum","3","","","","","1","","","",""
"","html-keyboard-response","416","976066","0.0-2.0-0.69","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","417","986273","0.0-2.0-1.69","10206.57499996014","<img src= images/stimuli/19.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= images/stimuli/11.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= images/stimuli/13.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= images/stimuli/54.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","2","19","images/stimuli/13.png","images/stimuli/54.png","images/stimuli/11.png","1","What came before this object?","41","0","across"
"","html-keyboard-response","418","986775","0.0-2.0-2.69","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","419","986777","0.0-2.0-3.69","0.12500002048909664","<img src= images/stimuli/19.png width = '386.6666666666667' height = '243.18658280922432'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><img src= images/stimuli/ww_room.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><p>Press 1 or 2.</p>","49","roomType","1","","","","","1","","41","",""
"","html-keyboard-response","420","987279","0.0-2.0-4.69","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","421","987559","0.0-2.0-5.69","278.82500004488975","<img src= images/stimuli/19.png width = '386.6666666666667' height = '243.18658280922432'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><img src= images/stimuli/ww_table.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><p>Press 1 or 2.</p>","49","tableNum","2","","","","","1","","","",""
"","html-keyboard-response","422","988062","0.0-2.0-0.70","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","423","988376","0.0-2.0-1.70","312.40499997511506","<img src= images/stimuli/75.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= images/stimuli/2.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= images/stimuli/21.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= images/stimuli/16.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","2","75","images/stimuli/21.png","images/stimuli/16.png","images/stimuli/2.png","1","What came before this object?","38","0","across"
"","html-keyboard-response","424","988880","0.0-2.0-2.70","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","425","989015","0.0-2.0-3.70","133.28999991063029","<img src= images/stimuli/75.png width = '386.6666666666667' height = '243.18658280922432'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><img src= images/stimuli/ww_room.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><p>Press 1 or 2.</p>","49","roomType","2","","","","","1","","38","",""
"","html-keyboard-response","426","989519","0.0-2.0-4.70","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","427","994416","0.0-2.0-5.70","4895.445000031032","<img src= images/stimuli/75.png width = '386.6666666666667' height = '243.18658280922432'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><img src= images/stimuli/ww_table.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><p>Press 1 or 2.</p>","50","tableNum","2","","","","","1","","","",""
"","html-keyboard-response","428","994918","0.0-2.0-0.71","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","429","1001079","0.0-2.0-1.71","6159.4150000019","<img src= images/stimuli/21.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= images/stimuli/55.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= images/stimuli/14.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= images/stimuli/34.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","1","21","images/stimuli/55.png","images/stimuli/34.png","images/stimuli/14.png","1","What came before this object?","37","1","within-no-walls"
"","html-keyboard-response","430","1001583","0.0-2.0-2.71","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","431","1012462","0.0-2.0-3.71","10878.030000021681","<img src= images/stimuli/21.png width = '386.6666666666667' height = '243.18658280922432'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><img src= images/stimuli/ww_room.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><p>Press 1 or 2.</p>","49","roomType","1","","","","","1","","37","",""
"","html-keyboard-response","432","1012966","0.0-2.0-4.71","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","433","1015559","0.0-2.0-5.71","2591.880000079982","<img src= images/stimuli/21.png width = '386.6666666666667' height = '243.18658280922432'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><img src= images/stimuli/ww_table.png width = '386.6666666666667' height = '386.6666666666667' hspace='5'><p>Press 1 or 2.</p>","50","tableNum","3","","","","","1","","","",""
