session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5df27b7d73d72417f7e20d5b,5b13da851e55760001ba009a,RETURNED,2019-12-12 17:40:19.414000,,42741759.133322,69,1079,9,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df65be5192ef0455cf148ec,5beb3a9529a0d600015d79b3,RETURNED,2019-12-15 16:14:40.531000,,42487698.016418,21,95,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df65be7a1f36145fa162f64,5ad4fece20bce50001271663,APPROVED,2019-12-15 16:14:46.638000,2019-12-15 16:37:05.403000,1338.765,31,665,6,99,2019-12-15 16:37:24.876000,54FF5A9E//,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
5df65be96172194557296196,5d77eb3007e8770001acdef8,APPROVED,2019-12-15 16:14:33.814000,2019-12-15 16:44:26.468000,1792.654,23,281,0,100,2019-12-15 16:56:53.845000,54FF5A9E//,Canada,Canada,Unemployed (and job seeking),English,Canada,Male,Yes
5df65c2a24f93945b7dda97a,5c9920556825d900019bab7a,APPROVED,2019-12-15 16:18:57.792000,2019-12-15 17:06:20.916000,2843.124,45,287,4,99,2019-12-16 16:18:37.925000,NOCODE,Latvia,Latvia,Unemployed (and job seeking),Russian,Latvia,Male,Yes
5df7aea2cc565f000cd7fd1b,5761c23632676f0007eb36b3,RETURNED,2019-12-16 16:28:54.744000,,42400443.829309,31,1899,7,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df7aea4cac568000f4b9c21,5c0a33ab3d878c00016da386,RETURNED,2019-12-16 16:20:08.351000,,42400970.222402,54,606,6,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df7aea4f87bca52e3afc4af,5d846f9c7f0ac800185c3c44,RETURNED,2019-12-16 16:29:48.129000,,42400390.444445,44,58,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df7aeb26e8aab52f40bdc11,5c0e4e3d87e876000151cfec,APPROVED,2019-12-16 16:20:35.361000,2019-12-16 16:51:41.114000,1865.753,29,308,3,99,2019-12-16 16:53:05.391000,54FF5A9E/,Poland,Poland,Full-Time,Polish,Poland,Female,No
5df7aec42b12bd53fc40b915,595bdc5b57e9520001f78eef,RETURNED,2019-12-16 16:20:24.987000,,42400953.594388,41,702,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df7af55cac568000d4eab36,5ae11f9709eae20001132c22,RETURNED,2019-12-16 16:22:47.441000,,42400811.140479,35,1832,7,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df7afb250221353819a7d01,5d9242a5e1b5a2001511a8da,RETURNED,2019-12-16 16:24:26.052000,,42400712.52952,28,231,8,95,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df7b036c0b81f54506b6f15,5dde4e9f355822db81d74885,RETURNED,2019-12-16 16:26:30.775000,,42400587.806558,28,81,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df7b17d2b12bd534e56c2d5,5d0687ec28d214001f06be09,RETURNED,2019-12-16 16:33:24.288000,,42400174.293594,,239,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df7b28eb5dfc9000ebfde3b,5c5d7519ef71a10001e4ff6a,RETURNED,2019-12-16 16:36:59.503000,,42399959.092677,35,252,4,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5df7b3f319232d54c37830cf,5cd314539cd94200180df858,APPROVED,2019-12-16 16:43:32.351000,2019-12-16 17:12:13.816000,1721.465,22,113,0,100,2019-12-16 17:20:33.778000,54FF5A9E/,Poland,Poland,Full-Time,Polish,Poland,Male,Yes
5df7b422783225550d1c94f7,5cec34d80b20970001acf664,APPROVED,2019-12-16 16:43:13.987000,2019-12-16 17:19:55.584000,2201.597,23,171,1,100,2019-12-16 17:20:32.335000,54FF5A9E/,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Female,Yes
