"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","success","test_part","correct_response","probe"
"1019.8050000034273","<img src= stimuli/temporalOrder/75.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/16.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/25.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/38.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","174","1070122","0.0-3.0-3.42","","contextMemory","3","75"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","175","1070624","0.0-3.0-0.43","","fixation","",""
"6768.770000009565","<img src= stimuli/temporalOrder/3.png width = '386.6666666666667' height = '243.18658280922432'><p>What came after this object?</p><img src= stimuli/temporalOrder/34.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/23.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/86.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","176","1077394","0.0-3.0-1.43","","temporalOrder","1","3"
"null","","null","html-keyboard-response","177","1077896","0.0-3.0-2.43","","blank","",""
"2430.204999996815","<img src= stimuli/temporalOrder/3.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/15.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/11.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/34.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","51","html-keyboard-response","178","1080328","0.0-3.0-3.43","","contextMemory","3","3"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","179","1080831","0.0-3.0-0.44","","fixation","",""
"5585.3300000014715","<img src= stimuli/temporalOrder/62.png width = '386.6666666666667' height = '243.18658280922432'><p>What came before this object?</p><img src= stimuli/temporalOrder/25.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/33.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/temporalOrder/49.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","180","1086418","0.0-3.0-1.44","","temporalOrder","1","62"
"null","","null","html-keyboard-response","181","1086919","0.0-3.0-2.44","","blank","",""
"610.715000002645","<img src= stimuli/temporalOrder/62.png width = '386.6666666666667' height = '243.18658280922432'><p>In which room was the object?</p><img src= stimuli/contextMemory/32.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/21.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><img src= stimuli/contextMemory/23.png width = '386.6666666666667' height = '243.18658280922432' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","182","1087532","0.0-3.0-3.44","","contextMemory","1","62"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","183","1088033","0.0-3.0-0.45","","fixation","",""
