"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","test_part","corr_resp","probe","target","foil1","foil2","condition","question","roomNum","sameRoom","context"
"","html-keyboard-response","110","184450","0.0-2.0-0.18","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","111","185133","0.0-2.0-1.18","682.3849999345839","<img src= images/stimuli/1.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/48.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/31.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/24.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","2","1","images/stimuli/31.png","images/stimuli/24.png","images/stimuli/48.png","1","What came before this object?","27","0","across"
"","html-keyboard-response","112","185634","0.0-2.0-2.18","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","113","185851","0.0-2.0-3.18","215.6350000295788","<img src= images/stimuli/1.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","roomType","1","","","","","1","","27","",""
"","html-keyboard-response","114","186352","0.0-2.0-4.18","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","115","187122","0.0-2.0-5.18","768.9000000245869","<img src= images/stimuli/1.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","tableNum","2","","","","","1","","","",""
"","html-keyboard-response","116","187623","0.0-2.0-0.19","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","117","189394","0.0-2.0-1.19","1770.1449999585748","<img src= images/stimuli/45.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/10.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/50.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/59.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","3","45","images/stimuli/59.png","images/stimuli/50.png","images/stimuli/10.png","1","What came before this object?","28","0","across"
"","html-keyboard-response","118","189895","0.0-2.0-2.19","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","119","190434","0.0-2.0-3.19","538.3349999319762","<img src= images/stimuli/45.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","roomType","2","","","","","1","","28","",""
"","html-keyboard-response","120","190935","0.0-2.0-4.19","null","","null","blank","","","","","","","","","",""
