"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","worker_id","corr_resp","probe","target","foil1","dist1","foil1Pos","foil2","dist2","foil2Pos","subjCond","questionOrder","counterbalance_condition","question","roomNum","roomType","sameRoom","context","probeTable","foil1Table","foil2Table","imageSize"
"2148.8399999798276","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/40.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/4.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/18.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/68.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","98","229433","0.0-3.0-1.47","temporalOrder1","10481","2","40","images/stimuli/18.png","images/stimuli/4.png","-57","1","images/stimuli/68.png","20","3","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","30","o","0","across","3","2","3","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","99","229934","0.0-3.0-0.48","fixation","","","","","","","","","","","","","","","","","","","","","",""
"860.4600000253413","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/65.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/51.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/73.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/17.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","100","230795","0.0-3.0-1.48","temporalOrder1","10481","3","65","images/stimuli/17.png","images/stimuli/73.png","-14","2","images/stimuli/51.png","8","1","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","16","o","0","across","3","3","3","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","101","231297","0.0-3.0-0.49","fixation","","","","","","","","","","","","","","","","","","","","","",""
"2292.3700000101235","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/82.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/14.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/66.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/18.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","102","233591","0.0-3.0-1.49","temporalOrder1","10481","2","82","images/stimuli/66.png","images/stimuli/18.png","-5","3","images/stimuli/14.png","12","1","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","33","o","0","across","3","2","3","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","103","234092","0.0-3.0-0.50","fixation","","","","","","","","","","","","","","","","","","","","","",""
"1910.4649999935646","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/87.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/63.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/11.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/85.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","104","236004","0.0-3.0-1.50","temporalOrder1","10481","3","87","images/stimuli/85.png","images/stimuli/63.png","-8","1","images/stimuli/11.png","40","2","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","23","o","1","within","2","2","2","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","105","236506","0.0-3.0-0.51","fixation","","","","","","","","","","","","","","","","","","","","","",""
"2344.3700000061654","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/44.png' style='width:509.5053380782918px;height: 395.5px;'><div class='threeColumn'><img src='images/stimuli/54.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/71.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/47.png' style='width:509.5053380782918px;height: 395.5px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","106","238852","0.0-3.0-1.51","temporalOrder1","10481","2","44","images/stimuli/71.png","images/stimuli/47.png","-6","3","images/stimuli/54.png","69","1","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","4","o","0","across","3","3","2","0.46915776986951363"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","107","239353","0.0-3.0-0.52","fixation","","","","","","","","","","","","","","","","","","","","","",""
