id	ord	after-Within-context	after-Across-context	before-Within-context	before-Across-context
1	1	0.25	0.5	0.25	0.3
2	2	0.8	0.45	0.8	0.35
3	1	0.55	0.6	0.55	0.3
4	2	0.35	0.6	0.2	0.35
5	2	0.55	0.5	0.5	0.4
6	1	0.55	0.2	0.25	0.4
7	1	0.3	0.25	0.5	0.5
8	2	0.35	0.4	0.3	0.3
9	2	0.5	0.3	0.5	0.4
10	1	0.6	0.4	0.5	0.45
11	1	0.45	0.3	0.6	0.65
12	2	0.2	0.25	0.35	0.4
13	2	0.5	0.45	0.35	0.35
14	1	0.55	0.55	0.2	0.35
15	1	0.75	0.55	0.45	0.4
16	2	0.5	0.3	0.4	0.55
17	2	0.35	0.45	0.65	0.35
18	1	0.65	0.3	0.45	0.7
19	1	0.4	0.3	0.5	0.5
20	2	0.35	0.45	0.2	0.35
21	2	0.6	0.45	0.6	0.3
22	1	0.75	0.7	0.5	0.5
23	1	0.7	0.6	0.85	0.6
24	2	0.55	0.55	0.45	0.4
25	2	0.35	0.2	0.7	0.75
26	1	0.85	0.6	0.35	0.45
27	1	0.8	0.55	0.65	0.5
28	2	0.5	0.3	0.55	0.25
29	2	0.5	0.45	0.5	0.35
30	1	0.35	0.3	0.4	0.45
31	1	0.7	0.7	0.5	0.5
32	2	0.9	0.45	0.7	0.5
33	2	0.45	0.25	0.4	0.4
34	1	0.5	0.4	0.3	0.1
35	1	0.5	0.3	0.75	0.6
36	2	0.35	0.6	0.55	0.35
37	1	0.85	0.55	0.85	0.85
38	2	0.8	0.55	0.7	0.55
