"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","worker_id","half","corr_resp","probe","target","foil1","dist1","foil1Pos","foil2","dist2","foil2Pos","subjCond","counterbalance_condition","question","roomNum","roomType","sameRoom","context","probeTable","foil1Table","foil2Table","imageSize"
"37858.799999999974","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">Thank you for making it so far. We will now present you with the same type of question you have been presented with the first memory test. Please continue completed this task in the same way you have completed the previous memory test. <br><br>Press <strong>space</strong> to begin the task.","32","html-keyboard-response","0","37862","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","1","40365","0.0-1.0-0.0","fixation","","","","","","","","","","","","","","","","","","","","","",""
"31205.65499999975","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/75.png' style='width:343.9644128113879px;height: 267px;'><div class='threeColumn'><img src='images/stimuli/10.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/54.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/78.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","2","71572","0.0-1.0-1.0","temporalOrder","1","1","2","75","images/stimuli/54.png","images/stimuli/10.png","-17","1","images/stimuli/78.png","13","3","0","0","","38","m","1","within","2","3","3","0.3167259786476868"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","72073","0.0-1.0-0.1","fixation","","","","","","","","","","","","","","","","","","","","","",""
"15196.599999999307","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/56.png' style='width:343.9644128113879px;height: 267px;'><div class='threeColumn'><img src='images/stimuli/10.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/85.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/50.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","4","87271","0.0-1.0-1.1","temporalOrder","1","1","3","56","images/stimuli/50.png","images/stimuli/85.png","-4","2","images/stimuli/10.png","9","1","0","0","","25","m","1","within","2","2","3","0.3167259786476868"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","87772","0.0-1.0-0.2","fixation","","","","","","","","","","","","","","","","","","","","","",""
"33897.82000000014","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/18.png' style='width:343.9644128113879px;height: 267px;'><div class='threeColumn'><img src='images/stimuli/60.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/33.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/75.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","6","121671","0.0-1.0-1.2","temporalOrder","1","1","1","18","images/stimuli/60.png","images/stimuli/33.png","-13","2","images/stimuli/75.png","15","3","0","0","","30","m","0","across","3","2","2","0.3167259786476868"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","122173","0.0-1.0-0.3","fixation","","","","","","","","","","","","","","","","","","","","","",""
"10107.009999999733","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/1.png' style='width:343.9644128113879px;height: 267px;'><div class='threeColumn'><img src='images/stimuli/59.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/24.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/3.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","8","132281","0.0-1.0-1.3","temporalOrder","1","1","1","1","images/stimuli/59.png","images/stimuli/24.png","-5","2","images/stimuli/3.png","15","3","0","0","","27","m","1","within","2","3","3","0.3167259786476868"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","132782","0.0-1.0-0.4","fixation","","","","","","","","","","","","","","","","","","","","","",""
"26978.715000001073","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/19.png' style='width:343.9644128113879px;height: 267px;'><div class='threeColumn'><img src='images/stimuli/33.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/78.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/7.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","10","159762","0.0-1.0-1.4","temporalOrder","1","1","3","19","images/stimuli/7.png","images/stimuli/33.png","-34","1","images/stimuli/78.png","7","2","0","0","","41","m","1","within","2","2","3","0.3167259786476868"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","160263","0.0-1.0-0.5","fixation","","","","","","","","","","","","","","","","","","","","","",""
"21091.34000000084","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/55.png' style='width:343.9644128113879px;height: 267px;'><div class='threeColumn'><img src='images/stimuli/42.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/41.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/21.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","12","181356","0.0-1.0-1.5","temporalOrder","1","1","3","55","images/stimuli/21.png","images/stimuli/41.png","-11","2","images/stimuli/42.png","14","1","0","0","","37","m","1","within","2","3","2","0.3167259786476868"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","181858","0.0-1.0-0.6","fixation","","","","","","","","","","","","","","","","","","","","","",""
"10610.39499999967","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/40.png' style='width:343.9644128113879px;height: 267px;'><div class='threeColumn'><img src='images/stimuli/48.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/67.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/18.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>3</div></div></div>","51","html-keyboard-response","14","192469","0.0-1.0-1.6","temporalOrder","1","1","3","40","images/stimuli/18.png","images/stimuli/48.png","-3","1","images/stimuli/67.png","8","2","0","0","","30","m","1","within","2","3","2","0.3167259786476868"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","192970","0.0-1.0-0.7","fixation","","","","","","","","","","","","","","","","","","","","","",""
"24206.994999998657","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/20.png' style='width:343.9644128113879px;height: 267px;'><div class='threeColumn'><img src='images/stimuli/10.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/31.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/21.png' style='width:343.9644128113879px;height: 267px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","16","217178","0.0-1.0-1.7","temporalOrder","1","1","1","20","images/stimuli/10.png","images/stimuli/31.png","-5","2","images/stimuli/21.png","17","3","0","0","","29","m","1","within","2","3","3","0.3167259786476868"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","217679","0.0-1.0-0.8","fixation","","","","","","","","","","","","","","","","","","","","","",""
