"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","worker_id","half","corr_resp","probe","target","foil1","dist1","foil1Pos","foil2","dist2","foil2Pos","subjCond","counterbalance_condition","question","roomNum","roomType","sameRoom","context","probeTable","foil1Table","foil2Table","imageSize"
"11266.114999998535","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">Thank you for making it so far. We will now present you with the same type of question you have been presented with the first memory test. Please continue completed this task in the same way you have completed the previous memory test. <br><br>Press <strong>space</strong> to begin the task.","32","html-keyboard-response","0","11268","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","1","13772","0.0-1.0-0.0","fixation","","","","","","","","","","","","","","","","","","","","","",""
"57971.73000000112","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/21.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='threeColumn'><img src='images/stimuli/45.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/75.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/9.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","2","71745","0.0-1.0-1.0","temporalOrder","1","1","2","21","images/stimuli/75.png","images/stimuli/45.png","-19","1","images/stimuli/9.png","9","3","1","1","","38","m","1","within","2","3","3","0.22774708410067526"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","72248","0.0-1.0-0.1","fixation","","","","","","","","","","","","","","","","","","","","","",""
"7690.585000000283","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/66.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='threeColumn'><img src='images/stimuli/67.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/85.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/57.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","4","79940","0.0-1.0-1.1","temporalOrder","1","1","1","66","images/stimuli/67.png","images/stimuli/85.png","-21","2","images/stimuli/57.png","6","3","1","1","","34","m","1","within","2","3","2","0.22774708410067526"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","80440","0.0-1.0-0.2","fixation","","","","","","","","","","","","","","","","","","","","","",""
"6179.025000001275","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/49.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='threeColumn'><img src='images/stimuli/31.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/33.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/62.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","6","86621","0.0-1.0-1.2","temporalOrder","1","1","1","49","images/stimuli/31.png","images/stimuli/33.png","-4","2","images/stimuli/62.png","13","3","1","1","","26","m","0","across","3","3","2","0.22774708410067526"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","87122","0.0-1.0-0.3","fixation","","","","","","","","","","","","","","","","","","","","","",""
"10482.28999999992","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/60.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='threeColumn'><img src='images/stimuli/14.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/41.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/48.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","8","97606","0.0-1.0-1.3","temporalOrder","1","1","2","60","images/stimuli/41.png","images/stimuli/48.png","-5","3","images/stimuli/14.png","16","1","1","1","","31","m","0","across","3","2","3","0.22774708410067526"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","98107","0.0-1.0-0.4","fixation","","","","","","","","","","","","","","","","","","","","","",""
"15932.600000000093","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/56.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='threeColumn'><img src='images/stimuli/68.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/85.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/50.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","10","114041","0.0-1.0-1.4","temporalOrder","1","1","3","56","images/stimuli/50.png","images/stimuli/85.png","-4","2","images/stimuli/68.png","30","1","1","1","","25","m","0","across","3","3","3","0.22774708410067526"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","114543","0.0-1.0-0.5","fixation","","","","","","","","","","","","","","","","","","","","","",""
"23689.45000000167","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/18.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='threeColumn'><img src='images/stimuli/60.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/57.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/59.png' style='width:247.33333333333334px;height: 191.99079189686924px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","12","138233","0.0-1.0-1.5","temporalOrder","1","1","1","18","images/stimuli/60.png","images/stimuli/59.png","-6","3","images/stimuli/57.png","12","2","1","1","","31","m","1","within","2","2","2","0.22774708410067526"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","138735","0.0-1.0-0.6","fixation","","","","","","","","","","","","","","","","","","","","","",""
