"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","test_part","corr_resp","probe","target","foil1","foil2","condition","question","roomNum","sameRoom","context"
"true","fullscreen","0","2761","0.0-0.0","","","","","","","","","","","","","",""
"","html-keyboard-response","1","45767","0.0-1.0","43002.1049999923","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify""><br>After you have watched the video, you will now complete a memory task.<br><br>On each trial, you need to answer three separate questions. The <strong>first question</strong> is <i>'What came before this object?'</i> for the object presented at the top of the screen. This is relative to the sequence of objects you saw in the video. You choose the correct image from the three alternatives  presented to you by pressing <strong>1, 2 or 3</strong> from top of the keyboard.<br>For the <strong>second question</strong>, you need to decide in which type of room the object was in and for the <strong>third question</strong> on which table the object on was irrespective of the room type. Please press the respective numbers which are used to label the room type/postions. <br><br>Press <strong>space</strong> to begin.","32","","","","","","","","","","",""
"","html-keyboard-response","2","48277","0.0-2.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","3","56937","0.0-2.0-1.0","8658.129999996163","<img src= images/stimuli/27.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/84.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/69.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/0.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","temporalOrder","1","27","images/stimuli/84.png","images/stimuli/69.png","images/stimuli/0.png","2","What came before this object?","8","1","within-no-walls"
"","html-keyboard-response","4","57442","0.0-2.0-2.0","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","5","62072","0.0-2.0-3.0","4628.200000006473","<img src= images/stimuli/27.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","roomType","1","","","","","2","","8","",""
"","html-keyboard-response","6","62577","0.0-2.0-4.0","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","7","70722","0.0-2.0-5.0","8143.3799999940675","<img src= images/stimuli/27.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","tableNum","3","","","","","2","","","",""
"","html-keyboard-response","8","71224","0.0-2.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","9","77983","0.0-2.0-1.1","6758.044999995036","<img src= images/stimuli/7.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= images/stimuli/19.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/14.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/6.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","51","temporalOrder","1","7","images/stimuli/19.png","images/stimuli/14.png","images/stimuli/6.png","2","What came before this object?","42","0","across"
