"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","corr_resp","probe","target","foil1","foil2","condition","question","roomNum","sameRoom","context"
"410.389999859035","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/84.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","49","roomType","html-keyboard-response","219","385520","0.0-0.0-3.36","2","","","","","4","","7","",""
"null","","null","blank","html-keyboard-response","220","386023","0.0-0.0-4.36","","","","","","","","","",""
"1399.0199998952448","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/84.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","49","tableNum","html-keyboard-response","221","387424","0.0-0.0-5.36","3","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","222","387925","0.0-0.0-0.37","","","","","","","","","",""
"1127.7000000700355","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/16.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/23.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/67.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/75.png' style='width:100%'>3</p></div></div>","51","temporalOrder","html-keyboard-response","223","389055","0.0-0.0-1.37","1","16","images/stimuli/23.png","images/stimuli/67.png","images/stimuli/75.png","4","Which of the objects below came next?","35","0","across"
"null","","null","blank","html-keyboard-response","224","389557","0.0-0.0-2.37","","","","","","","","","",""
"305.9900002554059","<p>What was the layout of the room in which the object appeared?</p><p><img src= 'images/stimuli/16.png' style='width: 33%'></p><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/nw_room.png' style='width:50%'></p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/ww_room.png' style='width:50%'></p></div></div><div class='row'><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>1</p></div><div class='twoColumn'><p style='float: center; font-size: 20pt; text-align: center;'>2</p></div>","50","roomType","html-keyboard-response","225","389864","0.0-0.0-3.37","2","","","","","4","","35","",""
"null","","null","blank","html-keyboard-response","226","390365","0.0-0.0-4.37","","","","","","","","","",""
"784.3050002120435","<p>On which table did the object appear?</p><p><img src= 'images/stimuli/16.png' style='width: 33%'></p><img src= 'images/stimuli/nw_table.png' style='width:33%'>","49","tableNum","html-keyboard-response","227","391151","0.0-0.0-5.37","3","","","","","4","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","fixation","html-keyboard-response","228","391653","0.0-0.0-0.38","","","","","","","","","",""
"609.6850000321865","<p>Which of the objects below came next?</p><p><img src= 'images/stimuli/72.png' style='width: 33%'></p><div class='row'><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/86.png' style='width:100%'>1</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/53.png' style='width:100%'>2</p></div><div class='threeColumn'><p style='float: left; font-size: 20pt; text-align: center;'><img src= 'images/stimuli/5.png' style='width:100%'>3</p></div></div>","50","temporalOrder","html-keyboard-response","229","392264","0.0-0.0-1.38","1","72","images/stimuli/86.png","images/stimuli/53.png","images/stimuli/5.png","4","Which of the objects below came next?","15","1","within-walls"
"null","","null","blank","html-keyboard-response","230","392765","0.0-0.0-2.38","","","","","","","","","",""
